TransactionID,CustomerID,TransactionAmount,AccountNumber,Date
1,2,$102.07,13453,9/1/2021
2,2,$28.19,13453,9/1/2021
3,5,$106.81,14375,9/1/2021
4,9,$90.87,11053,9/1/2021
7,2,$29.80,13453,9/1/2021
9,3,$99.19,12847,9/1/2021
10,11,$143.00,12195,9/1/2021
11,14,$79.28,10837,9/1/2021
12,6,$1.98,11071,9/1/2021
13,8,$120.21,11235,9/1/2021
14,5,$51.41,14375,9/1/2021
16,1,$71.95,14785,9/1/2021
17,4,$91.27,10831,9/1/2021
18,4,$86.62,10831,9/1/2021
19,14,$49.30,10837,9/1/2021
20,9,$36.04,11053,9/1/2021
21,14,$54.03,10837,9/1/2021
24,3,$143.57,12847,9/1/2021
26,5,$92.58,14375,9/1/2021
27,2,$31.32,13453,9/1/2021
29,10,$41.86,14799,9/1/2021
30,8,$99.42,11235,9/1/2021
31,11,$49.57,12195,9/1/2021
34,1,$95.38,14785,9/1/2021
36,3,$62.43,12847,9/1/2021
37,9,$56.55,11053,9/1/2021
38,5,$61.89,14375,9/1/2021
39,4,$8.60,10831,9/1/2021
40,3,$120.08,12847,9/1/2021
41,1,$105.08,14785,9/1/2021
42,7,$88.47,14759,9/1/2021
43,4,$78.44,10831,9/1/2021
44,12,$136.79,11463,9/1/2021
45,4,$54.44,10831,9/2/2021
46,14,$3.04,10837,9/2/2021
47,10,$43.46,14799,9/2/2021
48,8,$76.22,11235,9/2/2021
49,3,$69.50,12847,9/2/2021
50,1,$60.33,14785,9/2/2021
51,8,$26.13,11235,9/2/2021
54,8,$123.01,11235,9/2/2021
58,4,$20.87,10831,9/2/2021
59,12,$132.40,11463,9/2/2021
60,14,$1.08,10837,9/2/2021
61,9,$118.28,11053,9/2/2021
62,13,$36.66,13579,9/2/2021
63,13,$60.99,13579,9/2/2021
65,5,$4.56,14375,9/2/2021
66,5,$5.28,14375,9/2/2021
68,10,$6.79,14799,9/2/2021
69,12,$75.63,11463,9/2/2021
70,11,$148.78,12195,9/2/2021
71,13,$24.63,13579,9/2/2021
73,10,$93.80,14799,9/2/2021
74,2,$133.32,13453,9/2/2021
75,2,$99.58,13453,9/2/2021
77,2,$23.47,13453,9/2/2021
78,9,$61.51,11053,9/2/2021
81,9,$30.82,11053,9/2/2021
82,13,$112.25,13579,9/2/2021
83,15,$72.12,11447,9/2/2021
84,3,$109.38,12847,9/2/2021
85,11,$71.59,12195,9/2/2021
86,5,$37.60,14375,9/2/2021
88,7,$99.96,14759,9/2/2021
90,10,$37.37,14799,9/2/2021
93,9,$91.60,11053,9/2/2021
94,8,$68.73,11235,9/2/2021
95,15,$99.34,11447,9/2/2021
97,3,$94.63,12847,9/2/2021
99,2,$79.36,13453,9/2/2021
101,1,$145.36,14785,9/2/2021
102,6,$2.84,11071,9/2/2021
104,2,$145.12,13453,9/2/2021
105,5,$6.59,14375,9/2/2021
106,5,$32.34,14375,9/2/2021
109,2,$100.80,13453,9/2/2021
110,8,$29.44,11235,9/2/2021
111,4,$107.61,10831,9/2/2021
113,11,$137.35,12195,9/2/2021
114,2,$140.07,13453,9/2/2021
115,7,$93.20,14759,9/2/2021
116,11,$59.30,12195,9/2/2021
118,3,$70.30,12847,9/2/2021
119,2,$110.99,13453,9/3/2021
121,14,$143.34,10837,9/3/2021
123,14,$59.77,10837,9/3/2021
126,2,$83.03,13453,9/3/2021
127,8,$135.88,11235,9/3/2021
129,5,$38.44,14375,9/3/2021
132,11,$139.25,12195,9/3/2021
134,4,$146.54,10831,9/3/2021
135,4,$125.68,10831,9/3/2021
137,9,$21.48,11053,9/3/2021
138,4,$97.85,10831,9/3/2021
139,3,$99.39,12847,9/3/2021
142,9,$78.47,11053,9/3/2021
143,11,$107.60,12195,9/3/2021
144,5,$54.35,14375,9/3/2021
145,13,$80.36,13579,9/3/2021
146,13,$116.00,13579,9/3/2021
147,1,$22.64,14785,9/3/2021
148,8,$129.28,11235,9/3/2021
149,13,$33.28,13579,9/3/2021
150,15,$82.48,11447,9/3/2021
151,7,$51.68,14759,9/3/2021
152,2,$91.87,13453,9/3/2021
153,1,$127.24,14785,9/3/2021
154,15,$100.66,11447,9/3/2021
155,15,$96.76,11447,9/3/2021
156,6,$94.35,11071,9/3/2021
157,2,$90.82,13453,9/3/2021
159,10,$106.74,14799,9/3/2021
160,5,$45.11,14375,9/3/2021
161,3,$24.10,12847,9/3/2021
162,7,$13.84,14759,9/3/2021
163,9,$123.75,11053,9/3/2021
164,2,$140.60,13453,9/3/2021
165,11,$62.94,12195,9/3/2021
167,14,$67.65,10837,9/3/2021
168,10,$59.28,14799,9/3/2021
169,9,$123.20,11053,9/3/2021
170,9,$86.67,11053,9/3/2021
173,1,$140.53,14785,9/3/2021
174,9,$147.35,11053,9/3/2021
175,7,$67.90,14759,9/3/2021
176,5,$130.45,14375,9/3/2021
177,10,$120.48,14799,9/3/2021
178,10,$2.69,14799,9/3/2021
179,11,$120.93,12195,9/3/2021
181,7,$134.90,14759,9/3/2021
182,4,$28.71,10831,9/3/2021
183,15,$111.52,11447,9/3/2021
184,9,$30.12,11053,9/3/2021
185,5,$146.18,14375,9/3/2021
186,14,$96.17,10837,9/3/2021
187,6,$40.34,11071,9/3/2021
189,8,$14.30,11235,9/3/2021
190,14,$144.94,10837,9/3/2021
191,2,$96.08,13453,9/3/2021
192,1,$145.05,14785,9/3/2021
193,13,$83.75,13579,9/3/2021
194,14,$93.10,10837,9/3/2021
195,14,$69.78,10837,9/3/2021
197,11,$51.96,12195,9/3/2021
198,10,$88.33,14799,9/3/2021
199,9,$57.07,11053,9/3/2021
200,10,$130.32,14799,9/3/2021
202,7,$82.06,14759,9/3/2021
204,10,$113.68,14799,9/3/2021
205,4,$112.77,10831,9/3/2021
207,12,$67.28,11463,9/3/2021
209,15,$0.60,11447,9/3/2021
210,6,$94.63,11071,9/3/2021
211,1,$41.98,14785,9/3/2021
212,2,$32.65,13453,9/3/2021
